MR,Reference,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem,OBS/DÚVIDAS
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","PEDRO GOMES / MATO GROSSO DO SUL, no bioma Cerrado, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.","A cidade mais atingida foi Poconé / MT, acumulando 2 focos de incêndio.",n,s,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5103408"") [SEP] TOTAL_DEATHS(deaths=""150709"") [HISTORY] [PARAGRAPH]","São registrados, no total, 150.709 mortes e 5.103.408 casos de #COVID19 no Brasil.","São registrados, no total, 150.709 mortes e 5.103.408 casos de #COVID19 no Brasil.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Cumaru do Norte"",location=""deter-amz"",month=""8"",state=""PA"",year=""2020"") [HISTORY] No dia 31 de agosto de 2020, o INPE informou que houve alertas de desmatamento que somam 0,62 km² em Cumaru do Norte / Pará, acumulando 6 dias com alertas no mês na região.","O principal tipo de degradação que gerou o alerta para Cumaru do Norte / Pará foi o desmatamento com solo exposto, que remove totalmente a vegetação da floresta.","O principal tipo foi o desmatamento com solo exposto, deixando a terra sem vegetação.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.67"") [HISTORY] [PARAGRAPH]","O Brasil observa alta de 0,67% num dia na quantidade de casos de #COVID19.","O Brasil registra aumento diário de 0,67% na quantidade de casos e de 0,67% na quantidade de óbitos por #COVID19.",s,n,n,s,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5496402"") [SEP] TOTAL_DEATHS(deaths=""159033"") [HISTORY] [PARAGRAPH]","São registrados, no total, 159.033 mortes e 5.496.402 casos de #COVID19 no Brasil.","Ao todo, foram contabilizados 5. 533. 633 casos e 159. 012 mortes.",s,n,n,n,n,s,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""21"",day=""27"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","O INPE identificou, ao todo, 21 focos de queimadas no território brasileiro.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""4165124"") [SEP] TOTAL_DEATHS(deaths=""127517"") [HISTORY] [PARAGRAPH]","São registrados, no total, 127.517 mortes e 4.165.124 casos de #COVID19 no Brasil.","Brasil contabiliza 43513 casos de #COVID19 no total, o Brasil contabiliza 43517 casos e alta diária.",s,n,n,s,n,n,n,
"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Cerrado"",cases=""48"",day=""20"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","Hoje, 20 de fevereiro, o Instituto Nacional de Pesquisas Espaciais(INPE) registrou 48 focos de queimadas no bioma Cerrado.","Hoje, no dia 20 de fevereiro de 2021, o bioma Cerrado atingiu o recorde de queimadas diário, com 48 focos registrados pelo Instituto Nacional de Pesquisas Espaciais(INPE).",n,n,n,n,s,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""111"",day=""11"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.",n,n,n,n,n,s,n,formato sigla
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""345"",day=""12"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro.","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro.",n,n,n,n,n,s,n,formato sigla
"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Cerrado"",cases=""48"",day=""20"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","Hoje, 20 de fevereiro, o Instituto Nacional de Pesquisas Espaciais(INPE) registrou 48 focos de queimadas no bioma Cerrado.",O bioma mais atingido pelo Instituto Nacional de Pesquisas Espaciais (INPE) identificou a terra sem vegetação.,n,n,n,s,n,n,s,
"[COVID19] [INTENTS] NEW_CASES(cases=""90830"",highest=""True"") [SEP] TOTAL_CASES(cases=""11700431"") [HISTORY] O Brasil observa aumento de 0,97% no número de mortes causadas por #COVID19, com 2.736 novos registros nas últimas 24 horas, totalizando 285.136 óbitos.","Com recorde de 90.830 novos casos, o país chega ao total de 11.700.431 registros da doença.","Com recorde de 90.830 novos casos, o país chega ao total de 11.700.431 registros da doença.",n,n,n,n,n,n,n,hyp=ref
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Mata Atlântica"",cases=""2"",city=""CERRO AZUL"",day=""25"",month=""12"",state=""PARANÁ"",year=""2020"") [HISTORY] [PARAGRAPH]","Segundo dados de queimadas do Instituto Nacional de Pesquisas Espaciais(INPE), hoje, 25 de dezembro de 2020, CERRO AZUL / PARANÁ, localizada em Mata Atlântica, foi a cidade mais atingida por focos de queimadas, acumulando 2 focos de incêndio no dia.","No dia 25 de dezembro de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) detectou, na cidade de Cerro AZUL/PARANÁ, o desmatamento de 2 focos de queimadas.",n,n,n,n,n,s,n,formato irregular nome cidade
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""2.26"",city=""Humaita"",daily_accumulation=""7"",day=""23"",location=""deter-amz"",month=""5"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais relatou alerta de desmatamento em Humaita / Amazonas, no dia 23 de maio de 2020, somando 2,26 km², e a região acumulou 7 dias com alertas no mês.","No dia 16 de outubro de 2019, o Instituto Nacional de Pesquisas Espaciais ( INPE ) alertou o desmatamento de 1, 32 na cidade de Paranatinga / MT, acumulando 2. 32 de desmatamento no mês de outubro de 2019",s,s,n,n,n,n,n,
"[COVID19] [INTENTS] NEW_CASES(cases=""90830"",highest=""True"") [SEP] TOTAL_CASES(cases=""11700431"") [HISTORY] O Brasil observa aumento de 0,97% no número de mortes causadas por #COVID19, com 2.736 novos registros nas últimas 24 horas, totalizando 285.136 óbitos.","Com recorde de 90.830 novos casos, o país chega ao total de 11.700.431 registros da doença.","No total, foram registradas 11700431 novos casos e 90830 novas infecções pela doença, totalizando 285.136 óbitos.",s,n,s,n,n,n,s,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Pantanal"",cases=""75"",city=""POCONÉ"",day=""11"",month=""10"",state=""MATO GROSSO"",year=""2020"") [HISTORY] O bioma mais atingido foi a Amazônia, que registrou 260 focos de queimadas.","A cidade mais atingida foi POCONÉ / MATO GROSSO, localizada no bioma Pantanal, que registrou 75 focos de incêndio.","A cidade mais atingida foi Poconé/MT, localizada no Pantanal, que registrou 75 focos de queimadas.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_DEATHS(deaths=""222775"") [HISTORY] O Brasil registra 58.691 novos casos de #COVID19, somando 9.119.477 casos no total e crescimento de 0,65% em relação ao dia anterior.","No total, são 222.775 mortes causadas pelo vírus.","No total, são 224. 755 mortes causadas pelo vírus.",s,n,n,n,n,s,n,formato numero
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5496402"") [SEP] TOTAL_DEATHS(deaths=""159033"") [HISTORY] [PARAGRAPH]","São registrados, no total, 159.033 mortes e 5.496.402 casos de #COVID19 no Brasil.","São registrados, no total, 159.033 mortes e 5.496.402 casos de #COVID19 no Brasil.",n,n,n,n,n,n,n,hyp=ref
"[COVID19] [INTENTS] NEW_DEATHS(deaths=""3600"",highest=""True"") [SEP] TOTAL_DEATHS(deaths=""307326"") [HISTORY] São registrados 82.558 novos casos de #COVID19 no país, totalizando 12.407.323 casos confirmados.","São registradas 307.326 mortes, 3.600 a mais do que no dia anterior, o que representa novo recorde desde o ínicio da pandemia.","O número total de mortes chega a 310. 936, com quantidade recorde de 1. 030 novos óbitos nas últimas 24 horas.",s,n,n,n,n,n,n,formato numero
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""0.1"",city=""None"",daily_accumulation=""3"",day=""20"",location=""deter-amz"",month=""6"",state=""AC"",uc=""RESERVA EXTRATIVISTA DO ALTO JURUÁ"",year=""2020"") [HISTORY] [PARAGRAPH]","Em 20 de junho de 2020, o INPE registrou alertas de desmatamento na RESERVA EXTRATIVISTA DO ALTO JURUÁ / Acre que somaram 0,10 km², acumulando 3 dias com alertas no mês.","No dia 20 de junho de 2020, o Instituto Nacional de Pesquisas Espaciais divulgou alertas de desmatamento que somam 0,10 km² na RESERVA EXTRATIVISTA DO ALTO JURUÁ / Acre, acumulando 3 dias com alertas no mês.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5632505"") [SEP] TOTAL_DEATHS(deaths=""162035"") [HISTORY] [PARAGRAPH]","São registrados, no total, 162.035 mortes e 5.632.505 casos de #COVID19 no Brasil.","Brasil registra novo recorde, com 172 novos casos e 162035 novos óbitos por #COVID19.",s,n,n,s,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""Sao Felix do Xingu"",location=""deter-amz"",month=""8"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","A principal causa para o desmatamento na região foi mineração, devido à ação de garimpos na floresta.","O alerta diário gerado indica degradação de 2,4 km² na cidade de São Félix do Xingu/PA, no dia 8 de agosto de 2020",n,n,n,s,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""2.29"") [SEP] NEW_CASES(cases=""43245"",highest=""False"") [SEP] TOTAL_CASES(cases=""1931204"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 74.262, com 1.341 novos óbitos, representando um aumento diário de 1,84%.","Os casos de infecção pelo vírus alcançam 1.931.204, uma alta diária de 2,29%, representada por 43.245 novos casos.","Com queda de 2%, o país contabilizou 43245 casos de #COVID19, representando um aumento diário de 1,84%.",s,n,n,s,n,n,s,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","PEDRO GOMES / MATO GROSSO DO SUL, no bioma Cerrado, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.","Comparado ao mês anterior, o desmatamento teve aumento de VARIATION_1.",n,n,n,s,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Colniza"",location=""deter-amz"",month=""9"",state=""MT"",year=""2020"") [HISTORY] No dia 13 de setembro de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 4,15 km² em Colniza / Mato Grosso, acumulando 9 dias com alertas no mês na região.","O principal tipo foi o desmatamento com solo exposto, que acaba com toda vegetação do local.","O principal tipo de desmatamento foi o desmatamento com solo exposto, que deixa a terra sem vegetação.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] NEW_CASES(cases=""26417"",highest=""True"") [SEP] TOTAL_CASES(cases=""438238"") [HISTORY] [PARAGRAPH]","O Brasil chega ao total de 438.238 casos de #COVID19, com recorde de 26.417 novos casos nas últimas 24 horas.","Brasil registra novo recorde, com 26417 novos casos e 438238 novos casos de #COVID19.",n,n,n,s,n,s,n,formatacao numero
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","No mês de abril, a Unidade de Conservação mais afetada foi a FLORESTA NACIONAL DO JAMANXIM / Pará, com 35,93 km².","A Unidade de Conservação onde teve maior área desmatada foi a FLORESTA NACIONAL DO JAMANXIM/PA (3,93 km2).",s,n,n,n,n,n,s,"fluencia: ""A UC onde teve"""
"[COVID19] [INTENTS] NEW_DEATHS(deaths=""1340"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""233588"") [HISTORY] Com 51.733 novos casos, o Brasil chega a 9.602.034 infectados pela doença.","Com 1.340 novos óbitos, o país chega a marca de 233.588 mortos.","Com 1.340. novas mortes, o país soma 233.338 óbitos pelo vírus.",s,n,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""2.29"") [SEP] NEW_CASES(cases=""43245"",highest=""False"") [SEP] TOTAL_CASES(cases=""1931204"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 74.262, com 1.341 novos óbitos, representando um aumento diário de 1,84%.","Os casos de infecção pelo vírus alcançam 1.931.204, uma alta diária de 2,29%, representada por 43.245 novos casos.","São registrados ao todo 1.324.54 casos da doença, uma alta diária de 2,29%, representada por 43.245 novos casos.",s,n,n,n,n,n,n,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","No mês de abril, a Unidade de Conservação mais afetada foi a FLORESTA NACIONAL DO JAMANXIM / Pará, com 35,93 km².","O município mais atingido foi o município mais atingido no mês anterior, com 35 km2 de área desmatada.",s,s,n,n,n,n,s,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""7506890"") [SEP] TOTAL_DEATHS(deaths=""191641"") [HISTORY] [PARAGRAPH]",O Brasil soma 7.506.890 casos de #COVID19 e 191.641 mortes ocasionadas pelo vírus.,O Brasil soma 7.506.890 casos de #COVID19 e 191.641 mortes ocasionadas pelo vírus.,n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""4091801"") [SEP] TOTAL_DEATHS(deaths=""125584"") [HISTORY] [PARAGRAPH]","São registrados, no total, 125.584 mortes e 4.091.801 casos de #COVID19 no Brasil.",Brasil registra recorde de casos de # COVID19.,s,n,n,s,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""111"",day=""11"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.","O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou, ao todo, 111 focos de queimadas no território brasileiro.",n,n,n,n,n,S,n,formato sigla
"[COVID19] [INTENTS] TOTAL_CASES(cases=""1370488"") [SEP] TOTAL_DEATHS(deaths=""58385"") [HISTORY] [PARAGRAPH]",O Brasil soma 1.370.488 casos de #COVID19 e 58.385 mortes ocasionadas pelo vírus.,"São registrados, no total, 58.385 mortes e 13.704.848 casos de #COVID19 no Brasil.",s,n,n,n,n,n,n,
"[COVID19] [INTENTS] NEW_DEATHS(deaths=""3600"",highest=""True"") [SEP] TOTAL_DEATHS(deaths=""307326"") [HISTORY] São registrados 82.558 novos casos de #COVID19 no país, totalizando 12.407.323 casos confirmados.","São registradas 307.326 mortes, 3.600 a mais do que no dia anterior, o que representa novo recorde desde o ínicio da pandemia.","Com 3.560 novas mortes, o país soma 307.226 óbitos pelo vírus.",s,n,n,s,n,n,n,
"[COVID19] [INTENTS] TOTAL_DEATHS(deaths=""185687"") [HISTORY] O Brasil registra 52.385 novos casos de #COVID19, somando 7.163.912 casos no total e aumento de 0,74% em relação ao dia anterior.",É registrado um total de 185.687 mortes confirmadas por #COVID19 no país.,"No total, o país contabiliza 2838 casos e 146 mortes pela doença.",s,n,n,s,n,n,n,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 1.659,45 km² foram desmatados na Amazônia Legal, em julho de 2020.","O Instituto Nacional de Pesquisas Espaciais (INPE) identificou um total de 1659 km² de desmatamento na Amazônia legal, em julho de 2020",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.76"") [SEP] NEW_CASES(cases=""89409"",highest=""False"") [SEP] TOTAL_CASES(cases=""11877009"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 290.525, com 2.730 novos óbitos, representando uma alta diária de 0,95%.","Os casos de infecção pelo vírus alcançam 11.877.009, uma alta diária de 0,76%, representada por 89.409 novos casos.","Com queda de 2 %, o país apresenta crescimento de 2 %, o que corresponde a 1466 novos casos e 1466 novos casos.",s,n,n,s,n,n,s,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""3.35"",city=""Manicore"",daily_accumulation=""6"",day=""26"",location=""deter-amz"",month=""5"",state=""AM"",year=""2020"") [SEP] TOTAL_DEFORESTATION(area=""13.41"",city=""Manicore"",location=""deter-amz"",month=""5"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","O monitoramento do Instituto Nacional de Pesquisas Espaciais (INPE) alertou o desmatamento de 3,35 km² no município de Manicore / Amazonas no dia 26 de maio de 2020 - Manicore já teve alertas de desmatamento em 6 dias desse mês, totalizando 13,41 km² de desmatamento.","O monitoramento do INPE alertou o desmatamento de 3,35 km² no município de Manicore / Amazonas no dia 26 de maio de 2020 - Manicore já teve alertas de desmatamento em 6 dias desse mês, totalizando 13,41 km² de desmatamento.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] NEW_DEATHS(deaths=""3647"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""348934"") [HISTORY] Com 89.090 novos casos, o Brasil chega a 13.375.414 infectados pela doença.","Com 3.647 novos óbitos, o país chega a marca de 348.934 mortos.","Com 4. 348 novas mortes, o país soma 344. 477 óbitos pelo vírus.",s,n,n,n,n,s,n,formato separador numero
"[COVID19] [INTENTS] NEW_CASES(cases=""68656"",highest=""False"") [SEP] NEW_DEATHS(deaths=""1151"",highest=""False"") [SEP] TOTAL_CASES(cases=""8326115"") [SEP] TOTAL_DEATHS(deaths=""207160"") [HISTORY] O Brasil registra aumento diário de 0,83% na quantidade de casos e de 0,56% na quantidade de óbitos por #COVID19.","De ontem para hoje foram contabilizados mais 68.656 novos casos e 1.151 novas mortes, totalizando 8.326.115 casos e 207.160 mortes pela doença.","De ontem para hoje foram contabilizados mais 68.856 novos casos e 1.451 novas mortes, totalizando 8.312.115 casos e 207.060 mortes pela doença.",s,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Colniza"",location=""deter-amz"",month=""9"",state=""MT"",year=""2020"") [HISTORY] No dia 13 de setembro de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 4,15 km² em Colniza / Mato Grosso, acumulando 9 dias com alertas no mês na região.","O principal tipo foi o desmatamento com solo exposto, que acaba com toda vegetação do local.","O principal tipo foi o desmatamento com solo exposto, deixando a terra sem vegetação, com 75 de área desmatada.",s,n,n,s,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""None"",location=""deter-amz"",month=""6"",state=""PA"",uc=""FLORESTA NACIONAL DO CREPORI"",year=""2020"") [SEP] DAILY_ALERT(area=""0.09"",city=""None"",day=""7"",location=""deter-amz"",month=""6"",state=""PA"",uc=""FLORESTA NACIONAL DO CREPORI"",year=""2020"") [HISTORY] [PARAGRAPH]","Em 7 de junho de 2020, o monitoramento do Instituto Nacional de Pesquisas Espaciais (INPE) detectou desmatamento (0,09 km²) na FLORESTA NACIONAL DO CREPORI / Pará - a principal causa do alerta foi a mineração.","O Instituto Nacional de Pesquisas Espaciais identificou desmatamento de 0,09 km² na FLORESTA NACIONAL DO CREPORI / Pará no dia 7 de junho de 2020 - a principal causa do alerta foi mineração, associada à atividade de garimpo.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""3.81"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO"",year=""2020"") [HISTORY] [PARAGRAPH]","A ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO / Pará já acumula 3,81 km² de desmatamento no mês de julho de 2020.","O Instituto Nacional de Pesquisas Espaciais (INPE) identificou o desmatamento de 3,81 km² na cidade de Paranatinga/PA, no dia 7 de julho de 2020",n,s,n,n,n,n,n,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","Pará foi o estado mais atingido pelo desmatamento, com 177,84 km².","Pará foi o estado que mais teve desmatamento (177,84 km²).",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""3.01"",city=""Anapu"",daily_accumulation=""2"",day=""25"",location=""deter-amz"",month=""5"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Segundo o INPE, Anapu / Pará teve alertas de desmatamento no dia 25 de maio de 2020 que somaram 3,01 km².","No dia 25 de maio de 2020, o Instituto Nacional de Pesquisas Espaciais registrou alertas de desmatamento somando 3,01 km2 em Anapu / Pará, que acumula 2 dias com alertas no mês.",n,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""21"",day=""27"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","No dia, o Instituto Nacional de Pesquisas Espaciais ( INPE ) registrou um total de 674 focos de queimadas no território brasileiro.",s,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""None"",location=""deter-amz"",month=""6"",state=""PA"",uc=""FLORESTA NACIONAL DO CREPORI"",year=""2020"") [SEP] DAILY_ALERT(area=""0.09"",city=""None"",day=""7"",location=""deter-amz"",month=""6"",state=""PA"",uc=""FLORESTA NACIONAL DO CREPORI"",year=""2020"") [HISTORY] [PARAGRAPH]","Em 7 de junho de 2020, o monitoramento do Instituto Nacional de Pesquisas Espaciais (INPE) detectou desmatamento (0,09 km²) na FLORESTA NACIONAL DO CREPORI / Pará - a principal causa do alerta foi a mineração.","O Instituto Nacional de Pesquisas Espaciais identificou desmatamento de 0,09 km2 na FLORESTA NACIONAL DO CREPORI / Pará no dia 7 de junho de 2020 - a principal causa do alerta foi mineração, devido à ação de garimpos.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_DEATHS(deaths=""222775"") [HISTORY] O Brasil registra 58.691 novos casos de #COVID19, somando 9.119.477 casos no total e crescimento de 0,65% em relação ao dia anterior.","No total, são 222.775 mortes causadas pelo vírus.",Número de mortes pelo vírus chega a 22.275.,s,n,n,n,n,n,n,
"[COVID19] [INTENTS] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""0.95"") [SEP] NEW_DEATHS(deaths=""2730"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""290525"") [HISTORY] [PARAGRAPH]","As mortes por #COVID19 no Brasil chegam a 290.525, com 2.730 novos óbitos, representando uma alta diária de 0,95%.","As mortes por #COVID19 no Brasil chegam a 292.052, com 2.270 novos óbitos, representando um crescimento diário de 0,95%.",s,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""111"",day=""11"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.","O Instituto Nacional de Pesquisas Espaciais (INPE) identificou 11 de outubro de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) identificou 11 de outubro de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) identificou a terra sem vegetação.",n,n,n,s,n,n,s,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), 322,91 km² foram desmatados na Amazônia Legal, em abril de 2021.","O Instituto Nacional de Pesquisas Espaciais ( INPE ) informou que foram desmatados 322, 91, na Amazônia Legal, em abril de 2020.",s,s,N,N,N,N,N,
"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Mata Atlântica"",cases=""12"",day=""26"",month=""2"",year=""2021"") [HISTORY] Segundo dados de queimadas do Instituto Nacional de Pesquisas Espaciais(INPE), hoje, 26 de fevereiro de 2021, VALENÇA / BAHIA, localizada em Mata Atlântica, foi a cidade mais atingida por focos de queimadas, acumulando 3 focos de incêndio no dia.","No dia, Mata Atlântica teve 12 focos de queimadas e foi o bioma mais atingido.","No dia, Mata Atlântica teve 12 focos de queimadas e foi o bioma mais atingido.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5103408"") [SEP] TOTAL_DEATHS(deaths=""150709"") [HISTORY] [PARAGRAPH]","São registrados, no total, 150.709 mortes e 5.103.408 casos de #COVID19 no Brasil.","Brasil registra novo recorde, com 5103408 novos casos e150709 novos casos de #COVID19.",n,n,n,s,n,s,n,formatação numero
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""Sao Felix do Xingu"",location=""deter-amz"",month=""8"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","A principal causa para o desmatamento na região foi mineração, devido à ação de garimpos na floresta.","A principal causa para o desmatamento na região foi mineração, devido à ação de garimpos.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""0.1"",city=""None"",daily_accumulation=""3"",day=""20"",location=""deter-amz"",month=""6"",state=""AC"",uc=""RESERVA EXTRATIVISTA DO ALTO JURUÁ"",year=""2020"") [HISTORY] [PARAGRAPH]","Em 20 de junho de 2020, o INPE registrou alertas de desmatamento na RESERVA EXTRATIVISTA DO ALTO JURUÁ / Acre que somaram 0,10 km², acumulando 3 dias com alertas no mês.","No dia 20 de junho de 2020, o Instituto Nacional de Pesquisas Espaciais divulgou alertas de desmatamento que somam 0,10 km2 na RESERVA EXTRATIVISTA DO ALTO JURUÁ / Acre, acumulando 3 dias com alertas no mês.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais, Labrea / Amazonas teve alertas de desmatamento no dia 14 de julho de 2020 que somaram 22,92 km².","Labrea acumula 116,33 km² de área desmatada no mês de julho de 2020.","Labrea acumula 116,33 km2 em julho.",n,n,n,n,n,n,n,
