,MR,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem
153,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rates (685.97 sq km) in the observation period.,,,,,,,
154,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) detected 1,659.45 sq km of forest clearing in the legal Amazon in July two thousand and twenty.",,,,,,,
155,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The state with the most deforestation in the month was Pará (177.84 sq km), and the most devastated municipality was Altamira / Pará, where deforestation amounted to 51.07 sq km.",,,,,,,
156,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","Deforestation amounted to 322.91 sq km in the Legal Amazon in April 2021, according to data from the National Institute for Space Research (INPE).",,,,,,,
157,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was clear-cutting, which removes all vegetation of the soil, responsible for one hundred and 7ty-eight point eight 7 sq km of deforested area.",,,,,,,
158,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","Altamira was the most affected municipality (177.84 sq km), and 51.07 sq km were deforested in Pará.",,,,,,,
159,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","Labrea, in the state of Amazonas, where one hundred and sixteen point three sq km of forest were lost.",,,,,,,
160,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).", <VER,,,,,,,
161,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where five hundred and ninety-five point nine 7 sq km of forest were lost.",,,,,,,
162,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
163,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
164,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The most affected Nature Protected Area in the month was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km were deforested.",,,,,,,
165,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, was the most devastated Nature Protected Area in July, where 21.75 sq km were cleared of vegetation.",,,,,,,
166,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
167,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 1,578.87 sq km of deforested area.",,,,,,,
168,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
169,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of destruction of the Amazon in the month (1,578.87 sq km) was clear-cut deforestation, which leaves the soil clear of vegetation.",,,,,,,
170,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","Lab was the most affected municipality, where 116.33 sq km were deforested.",,,,,,,
171,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) detected 1,659.45 sq km of forest clearing in the legal Amazon in July two thousand and twenty.",,,,,,,
172,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was the destruction of the soil, which leaves the soil clear of vegetation.",,,,,,,
173,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05%.",,,,,,,
174,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that deforestation increased by 1.5 sq km in the state of Pará in January two thousand and twenty-one.,,,,,,,
175,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB,,,,,,,
176,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cutting, which clears the soil of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
177,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","Most of the deforested area (1,578.87 sq km) was a result of clear-cutting, which removes all vegetation coverage from the soil.",,,,,,,
178,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).",Compared was the most affected Nature Protected Area in July (659.05 sq km).,,,,,,,
179,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05%.",,,,,,,
180,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested."," The National Institute for Space Research (INPE) The National Institute for Space Research (INPE) said that the deforestation rate was the highest in the state of Pará, where 685.97 sq km were deforested. <VERB",,,,,,,
181,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.", <VERB> The National Institute for Space Research (INPE) reported that the deforestation rate for the month of December was 1.8%. <VERBAL,,,,,,,
182,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), two hundred and fifty-two point nine one sq km of forestland were deforested in the Legal Amazon in April two thousand and twenty.",,,,,,,
183,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) in Paraná, where the main body of deforestation was cut down to zero, was the most affected municipality in the state of Pará.",,,,,,,
184,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
185,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
186,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) National Institute for Space Research (INPE) reported that the deforestation of the Amazon in the month of December amounted to the highest deforestation in the world in December 2012. The National Institute for Space Research (INPE) The National Institute for Space Research (INPE) The National Institute for Space Research (INPE) reported that the deforestation of the Amazon in the month of December amounted to the highest deforestation in the world in December 2012. The National Institute for Space National Institute for Space Research (INPE) The National Institute for Space Research (INPE) The National Institute for Space Research (INPE),,,,,,,
187,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cutting, which removes all vegetation coverage from the soil, responsible for 312.44 sq km of deforested area.",,,,,,,
188,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, state of Pará, where 35.93 sq km of forest were chopped out.",,,,,,,
189,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","Most of the deforested area (1,578.87 sq km) was a result of clear-cutting, which removes all vegetation coverage from the soil.",,,,,,,
190,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation amounted to 1,177.84 sq km in the state of Pará in April two thousand and twenty-one.",,,,,,,
191,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]", <VER,,,,,,,
192,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rate (685.97 sq km) in the observation period.,,,,,,,
193,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) in Paraná, where the most affected municipality was the Paraná National Forest, was the most affected state in the observation period.",,,,,,,
194,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that 322.91 sq km of forest were chopped out of the legal Amazon in April two thousand and twenty-one.,,,,,,,
195,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea (in the state of Amazonas) was the most affected municipality (116.33 sq km).,,,,,,,
196,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that 322.91 sq km of forestland were deforested in the Legal Amazon in April two thousand and twenty-one.,,,,,,,
197,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.", <,,,,,,,
198,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) detected 322.91 sq km of forest clearing in the legal Amazon in April two thousand and twenty -one.,,,,,,,
199,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cutting, which removes all vegetetation, responsible for three hundred and fifty-two point 4 4 sq km of deforested area.",,,,,,,
200,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out, was the most affected Nature Protected Area.",,,,,,,
201,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","Altamira was the most affected municipality (177.84 sq km), and 51.07 sq km were deforested in the state of Pará.",,,,,,,
202,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]"," The National Institute for Space Research (INPE) in Paran state, in the state of Paraná, has declared that the",,,,,,,
203,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July two thousand and twenty, according to the National Institute for Space Research (INPE).",,,,,,,
204,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that 1,659.45 sq km of forestland were deforested in the Legal Amazon in July two thousand and twenty.",,,,,,,
205,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
206,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rates (685.97 sq km) in the observation period.,,,,,,,
207,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected Nature Protected Area in the month was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were lost.",,,,,,,
208,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that in the month of December, there were approximately 1.5 million sq km of deforested land in the state of Nairo in the state of Nairo. The National Institute for Space Research (INPE) reported that in the month of December, there were approximately 1.5 million sq km of de forested land in the state of Nairoz. The National Institute for Space Research (INPE) National Institute for Space Research (INPE) National Institute for Space Research (INPE) reported that in the month of December, there were approximately 1.5 million sq km of deforested land in the state of Nairoz. The National Institute for Space Research (IN) The National Institute for Space Research (INPE) reported that in the month of December, there were approximately 1.5 million sq km of deforested land in the state of Nairoz. The National Institute for Space Research (INPE) reported",,,,,,,
209,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","The most affected municipality was Pará, where six hundred and eighty-five point nine 7 sq km were deforested.",,,,,,,
210,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
211,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
212,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.", <VERBALIZE,,,,,,,
213,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05%.",,,,,,,
214,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped of.",,,,,,,
215,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rate (177.84 sq km) in the observation period.,,,,,,,
216,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-one point nine 7 sq km in the Legal Amazon, in July two thousand and twenty-one.",,,,,,,
217,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea (in the state of Amazonas) was the most affected municipality (116.33 sq km).,,,,,,,
218,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERBAL,,,,,,,
219,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main class of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
220,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","Labrea was the most affected municipality (116.33 sq km) in the month, where 116.33 sq km were deforested.",,,,,,,
221,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]", <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VER,,,,,,,
222,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]", <VERBAL,,,,,,,
223,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July two thousand and twenty, according to the National Institute for Space Research (INPE).",,,,,,,
224,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.", <VERB> <VERB> <VERB> <VERB> <VERB> <,,,,,,,
225,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped of.",,,,,,,
226,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was the destruction of the Amazon, which was responsible for the destruction of vegetation, vegetation degradation, and deforestation rates.",,,,,,,
227,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) estimated that deforestation of the legal Amazon amounted to 1,659.45 sq km in July 2020.",,,,,,,
228,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most deforested state and municipality were respectively Pará (one hundred and seventeen point eight 4 sq km) and Altamira (in the state of Pará), where deforestation amounted to fifty-one point seven eight sq km.",,,,,,,
229,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
230,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) estimated that 322.91 sq km of forest were chopped out of the legal Amazon in April two thousand and twenty-one.,,,,,,,
